timeindex;AT-reservoir-profile;BE-reservoir-profile;CH-reservoir-profile;CZ-reservoir-profile;DE-reservoir-profile;DK-reservoir-profile;FR-reservoir-profile;LU-reservoir-profile;NL-reservoir-profile;NO-reservoir-profile;PL-reservoir-profile;SE-reservoir-profile
2015-11-18T23:00:00Z;868.1778843459804;6.041677264976658;1702.9894636908648;34.21629740046187;51.739294936362505;0.0;536.3786809621657;0.5013010630445434;0.0;17168.85227259337;18.22629937793693;5268.561906292965
2015-11-19T00:00:00Z;867.1920886541993;5.9281702859035;1708.637964543882;34.21629740046187;54.34061983850491;0.0;541.0680724639172;0.6020044489169714;0.0;17248.84484514155;18.873616056406895;5301.434395588259
2015-11-19T01:00:00Z;867.0967150327745;7.504354915587057;1715.2720069276954;34.27292677748328;58.46814492973685;0.0;545.4050991931733;0.5482291331117407;0.0;17075.742841507014;18.52049648538767;5327.430352349589
2015-11-19T02:00:00Z;867.1191161528533;8.593194055145307;1710.728799288366;34.34049251143396;58.587521917873595;0.0;535.0140595636855;0.6568060251471334;0.0;17014.43852955498;19.570879821310996;5321.422800694605
2015-11-19T03:00:00Z;868.439823707769;8.063570066289303;1707.4010561842254;34.48892335002636;65.71696417695387;0.0;516.9143579838287;0.6109462087364322;0.0;16963.20239293026;20.529369622961163;5276.102350808618
2015-11-19T04:00:00Z;868.0840498180919;6.416929526857974;1700.8116299214396;34.374817492545276;67.36707882915385;0.0;511.3506783490114;0.6080768300390602;0.0;16924.092056778638;19.570798806309686;5237.17132283815
2015-11-19T05:00:00Z;867.2192952532636;6.213295860013426;1697.2984785949884;34.767623665028076;64.34564794216239;0.0;510.1778571032247;0.5901591648309388;0.0;16899.85919915328;21.926899481123666;5225.130553569772
2015-11-19T06:00:00Z;866.6448325711211;6.0849218187470075;1698.0190725989876;44.604715292323384;65.55336527078731;0.0;515.1051870275753;0.5461597779709635;0.0;16889.063657699055;21.89980055927607;5215.906577930648
2015-11-19T07:00:00Z;866.7482346120945;13.5700719483523;1707.122166246175;93.73642383957204;69.08018267653672;0.0;535.942589984106;1.8602965978869428;0.0;16892.49015347095;35.3148744623654;5205.489412356031
2015-11-19T08:00:00Z;866.4027405345179;10.463124837380795;1699.2180200443229;119.44218817356207;67.68672548751479;0.0;534.3482705750257;1.983565150320513;0.0;16879.65915570536;40.273517370625235;5199.621180724993
2015-11-19T09:00:00Z;865.9280948032807;10.722448689595089;1696.9872028381844;93.76829226119176;61.67503095062564;0.0;539.8450570638857;1.7218386904305112;0.0;16865.754904428846;32.30641912570779;5197.7214449050325
2015-11-19T10:00:00Z;868.0614862189735;14.904887761835308;1711.9386596465465;128.6503744081342;60.04999748147092;0.0;538.6758989247312;2.1039526029846827;0.0;16861.53516676723;40.03614521461034;5198.659089849015
2015-11-19T11:00:00Z;900.7198601041121;13.051629544673537;1802.894636330004;96.8847595201175;61.528786622545454;0.0;535.8582375098428;1.7737233033578303;0.0;16857.999939707464;45.131610585607156;5200.032277518188
2015-11-19T12:00:00Z;1023.4376383721373;13.771510998891593;1818.5669259442388;87.41636352837105;59.91501869871394;0.0;552.3857501317711;1.0446136535276929;0.0;16848.504790225394;50.16432454599847;5205.842183990705
2015-11-19T13:00:00Z;1010.7661161176502;20.73616760375187;1852.5757846158954;72.3469486668762;60.71483771623833;0.0;550.3733788451292;1.0712879283441135;0.0;16846.59379974835;62.377066821001286;5198.294985037335
2015-11-19T14:00:00Z;938.4153680568213;31.435667522355534;1773.1203282459755;46.952912707314894;68.02581030711757;0.0;557.6266679276392;1.4271738185117957;0.0;16831.43131322173;52.16113231476361;5189.338836308688
2015-11-19T15:00:00Z;863.3320492369166;26.32115995923584;1694.1408959013652;48.029298204748166;79.35496231785748;0.0;597.3805294384559;1.649072811587853;0.0;16818.505988696317;38.696381801678484;5182.894097980291
2015-11-19T16:00:00Z;863.4892714392422;40.70413432735314;1718.9595379566772;50.49069255750897;90.69901517242027;0.0;665.9566103971667;1.3086621326216723;0.0;16814.659086575895;31.775874997262886;5180.909379688794
2015-11-19T17:00:00Z;863.6647090378603;103.46097316728864;2011.8882422258357;69.45814302423076;107.84328311906731;0.0;710.2066703567812;2.562738299825738;0.0;16806.67420224542;30.853610256496623;5179.18165504256
2015-11-19T18:00:00Z;863.3623665953628;250.18194616269307;1882.1094495597615;93.41900403578518;159.29941427503255;0.0;726.922507126613;1.1297528423482126;0.0;16800.357789300706;31.944101373830485;5178.1358874126845
